,Name,Role,Organisation,School,Course of study,Full Bio,Photo,,,,,
Full profile,Bhargav Sriganesh,Desk Officer (ASEAN Directorate),Ministry of Foreign Affairs Singapore,The London School of Economics and Political Science,Political Science and Political Economy,"Bhargav Sriganesh is currently serving as a Desk Officer in the ASEAN Directorate of the Ministry of Foreign Affairs in Singapore, where his work focuses on the ASEAN Economic Community. Prior to returning to the civil service, Bhargav undertook various internships and work attachments in Singapore and abroad, including with UNESCO in Paris, the Ministry of Foreign Affairs Singapore, the Ministry of Education Singapore, Singapore's Permanent Mission to the United Nations in New York, and the Asian Trade Centre. Bhargav pursued his undergraduate degree in International Politics at King’s College, London and postgraduate degrees in Political Science and Political Economy at The London School of Economics and Political Science (LSE). His undergraduate dissertation examining the effects of the International Monetary Fund's intervention on inequality after the Asian Financial Crisis received the Carl Menger Undergraduate Essay Award from the Society for the Development of Austrian Economics and the Charles Koch Foundation. For his service to the Indian community in Singapore, Bhargav was awarded the SINDA Youth Award by the Singapore Indian Development Association. He is keen to mentor youth, particularly those interested in a career with the public service.",https://drive.google.com/open?id=17fxNuCwpBMMV5krQsIcbVHh-kHHAg3ck,,,,,
Filter,,Desk Officer (ASEAN Directorate),Ministry of Foreign Affairs Singapore,The London School of Economics and Political Science,Political Science and Political Economy,,,,,,,
Card,Bianca Stringuini,"Head of Inclusion, Community and Wellbeing (APAC)",Visa,,,,,,,,,
Full profile,Bianca Stringuini,"Head of Inclusion, Community and Wellbeing (APAC)",Visa,,,"Bianca Stringuini — Head of Inclusion, Community and Wellbeing (APAC) for Visa — is an expert on talent, leadership, diversity and inclusion practices. Proficient in creating and curating communication plans; talent and performance management projects; and leadership development training, she has held prolific commercial and strategy-focussed business portfolios across diverse sectors and regions: banking, real estate, fashion, international business development, and branding — from South America to Europe and the Middle East. A leading voice in organisational, talent and diversity, Bianca has spoken — as a certified cultural awareness, change management and cultural transformation facilitator — at multiple prestigious international conferences and forums, including the UN CSW Global Conference on Empowering Women Financially; the D&I Asia Conference in Hong Kong; and a symposium on Women Banking Alliance organised by the World Bank. ",https://drive.google.com/open?id=13pdiS7A2xGwiqANl8MNDIMpEWQsX7e1r,,,,,
Filter,,"Head of Inclusion, Community and Wellbeing (APAC)",Visa,,,,,,,,,
Card,Billy Loh Rong Shun,Assistant Senior Social Worker,Rotary Family Service Centre,,,,,,,,,
Full profile,Billy Loh Rong Shun,Assistant Senior Social Worker,Rotary Family Service Centre,Singapore University of Social Sciences,Social Work,"Billy Loh Rong Shun is an Assistant Senior Social Worker at Rotary Family Service Centre. He graduated with a Bachelor of Social Science, majoring in Applied Counselling, Community and Welfare Work, from Edith Cowan University; and completed a Master of Social Work at the Singapore University of Social Sciences. On top of his academic qualifications and accreditation as a facilitator for PREPARE/ENRICH, a renowned pre-marital education and marriage enhancement programme, he received ""Mindful Self-Compassion Teacher"" Training at the Centre of Mindful Self-Compassion in San Diego. In his day job, Billy conducts casework and counselling for his clients and participates in several client-focussed initiatives within Rotary Family Service Centre. He also provides field-work supervision for social work students who are undergoing their practicum in Rotary Family Service Centre. Beyond his full-time work, Billy spends his time meaningfully with various communities and grassroots organisations, serving as an Executive Committee Member of the Singapore Association of Social Workers, and chairing the Training and Professional Development portfolio for the association.",https://drive.google.com/open?id=1GCSdUjWcwHjW_BKeeTeX38gjp_puAZmW,,,,,
Filter,,Assistant Senior Social Worker,Rotary Family Service Centre,Singapore University of Social Sciences,Social Work,,,,,,,
Card,Lim Boon Pin,"Senior Assistant Director (Policy & Planning), Municipal Services Office ",Ministry of National Development Singapore,,,,,,,,,
Full profile,Lim Boon Pin,"Senior Assistant Director (Policy & Planning), Municipal Services Office ",Ministry of National Development Singapore,National University of Singapore,Sociology,"Lim Boon Pin is the Senior Assistant Director for Policy and Planning at the Ministry of National Development's Municipal Services Office, bringing together government agencies, Town Councils, and citizens in the course of his work to improve the shared living environment in Singaproe. He previously worked as a Senior Manager for Community Collaborators at Youth Corps Singapore; and Senior Manager for Community Relations at the Community Relations and Engagement Division, under the Ministry of Culture, Community and Youth. Boon Pin graduated from the National University of Singapore (NUS) with a BSc. (Hons) majoring in sociology and minoring in religious studies, where he studied on a NUS Undergraduate Merit Scholarship. He attributes the critical thinking with which he approaches problems to his having developed a strong grounding in sociology through his undergraduate education, which trained him to understand problems contextually and question ideas rigorously — to dig deep into the 'why' and 'for whom' of questions. Boon Pin believes that as long as one's eyes are kept on the 'why' before diving into the 'how,' there is meaningful impact to be made together, collectively and cumulatively — a little at a time, there can be better, brighter world to which to look forward. ",https://drive.google.com/open?id=1ZWHd7Yl6AvME0Lg2ygKE0NyDVZIIgZpl,,,,,
Filter,,"Senior Assistant Director (Policy & Planning), Municipal Services Office ",Ministry of National Development Singapore,National University of Singapore,Sociology,,,,,,,
Card,Brian Liu,Senior Vice President ,Lazada Group,,,,,,,,,
Full profile,Brian Liu,Senior Vice President ,Lazada Group,Hofstra University,Business Management,"Brian Liu is currently Senior Vice President at the Lazada Group, one of the largest e-commerce operators in Southeast Asia. Prior to joining the Lazada Group, Brian spent over a decade in management consulting as an Associate Director with Ernst & Young, with a particular focus on strategy and performance management. In recent years, he has gone in-house, leading global and regional projects at Bose as a Talent and Organisation Development Strategist. His time in the people and consumer electronics domain led him to his most recent adventures in the thriving Asia e-commerce scene. Outside of his work, Brian is involved in various roles, serving as a Council Member of the National Youth Council, Co-Chair of the National Youth Council's Young ChangeMakers Grant, and formerly as a Board Member of the Families for Life Council with the Ministry of Social & Family Development. Over the years, he has mentored youth in various capacities as a Project Advisor with Conjunct Consulting, a Youth Career Mentor with the National Trades Union Congress, and a Career Coach with Nanyang Technological University. He graduated from Hofstra University, studying Business Management. ",https://drive.google.com/open?id=1NzSgPqdhCSRpWXk2Wql8yZ2oe5-pWBS2,,,,,
Filter,,Senior Vice President ,Lazada Group,Hofstra University,Business Management,,,,,,,
Card,Bryan Low,Senior Client Advisor ,Credit Suisse,,,,,,,,,
Full profile,Bryan Low,Senior Client Advisor ,Credit Suisse,,Finance and International Economics,"Bryan Low has over a decade of expertise in wealth management, as a Senior Client Advisor at Credit Suisse. He has worked in many companies regarded as industry leaders, including Citibank, where he was a Client Advisor; then Nomura, where he was made Senior Client Advisor. While maintaining his clientele portfolio, he has taken up an adjunct faculty position at the Nanyang Technological University as the Finance Course Coordinator. Bryan previous co-founded Doki Doki — a fast-moving consumer goods business whose product was primarily functional beverage in the markets of the Association of Southeast Asian Nations (ASEAN), Middle East, and China. As a finance professional with an interest in and a passion for education, community-building and entrepreneurship, he volunteers actively with Singapore-based non-governmental organisations, serving as a Board Member on the Finance and Investment Committee for Sports Singapore; an ASEAN Youth Fellow—plugged into a network, managed both by NYC and the Singapore International Foundation, comprising young leaders nominated from across the public, private and people sectors, for their professionals roles and potential to shape the region's future; and a member of the National Youth Council's young adult leaders community, INSPIRIT. Bryan holds a bachelor's degree in Business and a master's degree in finance and international economics.",https://drive.google.com/open?id=1yUHvbDUScC-xqyzzuMDUDYx5Wwse38_g,,,,,
Filter,,Senior Client Advisor ,Credit Suisse,,Finance and International Economics,,,,,,,
Card,Carol Soon,Senior Research Fellow,Institute of Policy Studies,,,,,,,,,
Full profile,Carol Soon,Senior Research Fellow,Institute of Policy Studies,,,"Carol Soon is a Senior Research Fellow at the Institute of Policy Studies where she heads the Society and Culture Department. Her research involving the government, private and people sectors focuses on media, technology and communication - false information, media regulation, digital inclusion, new media and activism, online public opinion sensing, and public engagement and deliberation. Carol worked with the Ministry of Health in 2017 on Singapore’s first Citizens’ Jury and is currently working with various government agencies on engaging citizens in co-creating policy solutions. She is also Associate Director of the Asia Journalism Fellowship supported by Temasek Foundation; Vice Chair of Singapore’s Media Literacy Council; and a member of the Industry Advisory Panel for the Humanities, Arts and Social Sciences at the Singapore University of Technology and Design. She has taught courses at the Lee Kuan Yew School of Public Policy and the University Scholars Programme at NUS.  Carol speaks about her research frequently at international, regional and local forums – in 2015, she received the Lee Kuan Yew School of Public Policy Research Excellence Award. Before joining academia, she worked in the corporate sector where she developed communication campaigns for profit and non-profit organisations.",https://drive.google.com/open?id=1oOD_DNXVndHljVk5-AYJifoSCkWLF4CV,,,,,
Filter,,Senior Research Fellow,Institute of Policy Studies,,,,,,,,,
Card,Chia Boon Tan,Education and Career Guidance Counsellor,Ministry of Education Singapore,,,,,,,,,
Full profile,Chia Boon Tan,Education and Career Guidance Counsellor,Ministry of Education Singapore,,,"Tan Chia Boon has served as an Education and Career Guidance Counsellor in the Ministry of Education for the past two years. He spent twenty enriching years in the private sector –including fourteen years as the co-owner and director of an electronic components distribution company – and has extensive experience in sales, marketing, procurement and business development. He believes that everyone deserves a chance of proving themselves regardless of their background. Chia Boon is especially passionate about engaging with youths and young adults, leveraging on the experience of having been an entrepreneur to give back to society by becoming a coach, leader and mentor to the younger generation.",https://drive.google.com/open?id=1-8EC4KW5vbXblmr7W5ElzO072hoMZ9Aq,,,,,
Filter,,Education and Career Guidance Counsellor,Ministry of Education Singapore,,,,,,,,,
Card,Christian Cadeo,Managing Partner,Big Idea Ventures,,,,,,,,,
Full profile,Christian Cadeo,Managing Partner,Big Idea Ventures,California State University,Bachelor of Arts,"Christian Cadeo is currently the Managing Partner for Big Idea Ventures. Big Idea Ventures is a new alternative protein venture capital fund/accelerator based in New York and Singapore. It is anchored by investments from major institutional investors, including Temasek Holdings and Tyson Food. Prior to this, Christian was a seasoned operator with experience in bringing US based start-ups to Asia. His first start-up was at AdMob, which was eventually acquired by Google for US$750MM. The second start-up was JUST, which raised US$372MM from Founders Fund, Horizon Ventures and Eduardo Saverin. Christian also has extensive experience working at some of the largest technology companies in the world, including Google, where he spent four managing the mobile and enterprise division in Southeast Asia; and Microsoft, where he managed online commercial development. He graduated with a Bachelor of Arts from California State University and will be attending the Master of Science programme at the University of Oxford in 2020. ",https://drive.google.com/open?id=10ZW6CggIOZWwVrmspeXsVkQDNCoKxoo8,,,,,
Filter,,Managing Partner,Big Idea Ventures,California State University,Bachelor of Arts,,,,,,,
Card,Cindy Chng,Partner,Tomowork SG,,,,,,,,,
Full profile,Cindy Chng,Partner,Tomowork SG,,,"Cindy Chng is a Partner in Tomowork SG, an initiative by Sumitomo Life to innovate in the space of PWD employment. Cindy is a serial social entrepreneur, having started her first social enterprise in Eco Tourism at the age of 19 years old and going on to work in companies such as Trifam, a social enterprise that provides a digital platform to bring in additional income for PWDs and caregivers. A big part of her work now is to advocate for the inclusion and integration of the differently abled in society and at the workplace. She works closely with various companies spanning diverse industries in Singapore, bringing together PWDs, employers and a wide range of stakeholders to create meaningful employment opportunities for PWDs. ",https://drive.google.com/open?id=1G2W3M0KWcvCdGr6RT50wYaA1Qmw-5T7q,,,,,
Filter,,Partner,Tomowork SG,,,,,,,,,
Card,Cliff Hartono,Co-Founder and CEO ,Jasri Partners,,,,,,,,,
Full profile,Cliff Hartono,Co-Founder and CEO ,Jasri Partners,,,"Cliff Hartono is the CEO and Co-Founder of Jasri Partners. Prior to starting Jasri Partners, he was responsible for business development and investor relations at Three Arrows Capital, an emerging markets hedge fund manager. Previously, he was responsible for structuring and business development at Credit Suisse ETFs in London. He also has trading experience as an ETF market maker at Flow Traders and as an execution trader of futures at Credit Suisse in Tokyo. Outside of finance, Cliff is the founder of Set in Stone Gallery, Asia’s premier natural history dealer. Set in Stone Gallery offers specially selected musem-quality fossil and mineral pieces acquired from all over the world for private collection and interior design. Cliff and Set in Stone have been featured in various print and live media press such as Bloomberg Markets, The Straits Times and Channel News Asia. He is also co-founder of Metis Art, an Art Consultancy which seeks to educate and support the next generation of art collectors in the region.",https://drive.google.com/open?id=1ueMrGqp3euGSbk7kWbRIY2n2gNo2ilMH,,,,,
Filter,,Co-Founder and CEO ,Jasri Partners,,,,,,,,,
Card,Clinton Yip,Talent Coordinator,Revolut,,,,,,,,,
Full profile,Clinton Yip,Talent Coordinator,Revolut,,,"Clinton Yip is a Talent Coordinator supporting the APAC Talent Acquisition team at Revolut, a British financial technology company that offers banking services including GBP and EUR bank accounts, a MasterCard prepaid debit card or a VISA debit card, fee-free currency exchange, stock trading, cryptocurrency exchange and peer-to-peer payments. He graduated from Singapore Management University in 2017, double majoring in Psychology and Business Strategic Management. Before Revolut, he was in the legal and compliance recruitment space – he served as a Research Associate in Paddington Partners, and a Researcher at JLegal. Clinton is passionate about education, technology, poverty, mental health, and cognitive psychology.",https://drive.google.com/open?id=1uj2WXcvE3Cvek5Lf80yPMGWvELAhzsAR,,,,,
Filter,,Talent Coordinator,Revolut,,,,,,,,,
Card,Crystal Koh,Founder and CEO,Chance Upon Pte Ltd,,,,,,,,,
Full profile,Crystal Koh,Founder and CEO,Chance Upon Pte Ltd,,,"Crystal Koh is the Founder and CEO of Chance Upon Pte Ltd, an information technology and services company that specialises in innovation and digital transformation. She works closely with senior executives of organisations to translate ideas into reality by helping them improve their business efficiency, drive revenue and create new business models. In her previous roles at McDonald’s APMEA in Shanghai and Ascendas Fund Management, her key accomplishment was the ability to drive innovation and change within the organisation, going above and beyond to encourage her team to conceptualise and launch new ideas. Her consulting engagements with organisations involve crafting digital strategies, omni channels marketing strategies and technological platform development. She has consulting experience in various sectors, including FMCG and real estate. Her clients include Ernst and Young, DBS, Frasers Property, NTUC Fairprice, NTUC First Campus, DDB Worldwide Communications Group, WPP plc, and Leo Burnett Worldwide.",https://drive.google.com/open?id=1-M5P_YmzSK-wNaPMQOO9-aXDhl4V_iSe,,,,,
Filter,,Founder and CEO,Chance Upon Pte Ltd,,,,,,,,,
Card,Daniel Teh,Founder and Executive Director ,PopeJai Pte Ltd.,,,,,,,,,
Full profile,Daniel Teh,Founder and Executive Director ,PopeJai Pte Ltd.,,,"Daniel Teh is the Founder and Executive Director of PopeJai Pte Ltd., a social enterprise in the food and beverage industry. PopeJai Pte. Ltd. consists of Pope Jai Thai, a Thai casual dining restaurant; Tao Chew, a traditional Nanyang coffee and tea cafe; and PopeJai Cares, a community social arm. Under Daniel’s management, PopeJai breaks through the conventional norms of employment as he ensures that everyone is given a chance to gain employment and training opportunities. With the aim to build an inclusive society, he carries with him a “Never Try, Never Know” mentality. Additionally, the company employs eight groups of beneficiaries, including persons with intellectual and physical disabilities and people struggling with mental health issues. Daniel has shared about PopeJai’s guiding belief – namely, its Culture of Honour – at multiple prestigious locations, including Microsoft, OCBC, Singapore International Foundation (SIF), the Ministry of Education (MOE), the National Youth Council, NUS Enterprise and Singapore TEDxNTU 2018. He was also awarded the PAYM Meritorious Youth Award in 2018 while PopeJai Pte. Ltd. was awarded the President’s Challenge Youth Social Enterprise in 2017.",https://drive.google.com/open?id=1xMOZDigRhfsbCt0A1g5mGT479RYeeMW5,,,,,
Filter,,Founder and Executive Director ,PopeJai Pte Ltd.,,,,,,,,,
Card,David Chua,CEO,National Youth Council,,,,,,,,,
Full profile,David Chua,CEO,National Youth Council,Massachusetts Institute of Technology,Business Administration,"David Chua was appointed Chief Executive Officer of the National Youth Council in July 2015, becoming the autonomous agency’s first CEO. The National Youth Council (NYC) was restructured into an autonomous agency under the Ministry of Culture, Community and Youth in January 2015, and operates as the national body coordinating holistic youth development. It also houses Outward Bound Singapore and Youth Corps Singapore. David is also concurrently the Chairman of *SCAPE. He graduated from Imperial College, University of London with a Master of Engineering, and subsequently a Master of Business Administration from Massachusetts Institute of Technology. Prior to joining NYC, David served in the Singapore Armed Forces for 22 years. His more interesting jobs saw him working in Indonesia for three years across 27 provinces as an Army Attaché and organizing the 2013 National Day Parade Show. He was awarded the Public Administration Medal (Bronze) (Military) in 2014.",,,,,,
Filter,,CEO,National Youth Council,Massachusetts Institute of Technology,Business Administration,,,,,,,
Card,Desmond Koh,Managing Director (SEA),BNP Paribas Wealth Management,,,,,,,,,
Full profile,Desmond Koh,Managing Director (SEA),BNP Paribas Wealth Management,,,"Desmond Koh, Managing Director at BNP Paribas Wealth Management, leads his team in serving private families and family offices in Southeast Asia, with 20 years of investment banking and wealth management experience as an entrepreneur portfolio manager for investments. Aligned with BNP Paribas’ leadership in Sustainable Finance—ranked first as the Best Bank for Sustainable Finance by Euromoney in 2018—he spearheads the bank's sustainability taskforce, while also building a “Conscious Circle” community of private investors and partners, invested in the area, with which he tries to plant seeds of positive intention into the hearts and minds of investors and private families, in an effort to catalyse collaborations for social impact and societal change. As a three-time Singapore Olympian, Rhodes Scholar, and mindfulness practitioner, Desmond takes an active interest in exploring consciousness and the human potential. He strives for peak performance states, and enjoys building communities in such passions as sustainability and meditation; conducting mindful life coaching; and speaking on the mind and the human potential. He advises numerous founders and co-founders, and enterprises, on sustainability, innovation and impact, through serving on the Boards of such entities in areas of education, mental health, wellness and sustainability.",,,,,,
Filter,,Managing Director (SEA),BNP Paribas Wealth Management,,,,,,,,,
Card,Goh Duo Geng,Associate Consultant,Bain & Company,,,,,,,,,
